Addresses,Price,Price Type,Rent Estimate,Property Type,Number of Bedrooms,Number of Bathrooms,Square Feet,YTD,Address Link
"Memorial Cir, Panama City Beach, FL 32413","$283,199",Estimated Market Value,$1281/m,Single-Family,3,2,1497, 92%,https://www.foreclosure.com/address/Memorial-Cir-Panama-City-Beach-FL-32413/60779424_lid
"N Ojus Dr, Tampa, FL 33617","$266,880",Estimated Market Value,$1092/m,Single-Family,2,1,994, 109%,https://www.foreclosure.com/address/N-Ojus-Dr-Tampa-FL-33617/60778429_lid
"Via Lucerna Cir, Windermere, FL 34786","$630,041",Estimated Market Value,$2230/m,Single-Family,4,3.5,2521, 102%,https://www.foreclosure.com/address/Via-Lucerna-Cir-Windermere-FL-34786/60778443_lid
"Aberdeen St, Davenport, FL 33837",N/A,N/A,N/A,Single-Family,3,2,1690,N/A,https://www.foreclosure.com/address/Aberdeen-St-Davenport-FL-33837/60779348_lid
"Orange Ave, Bokeelia, FL 33922","$455,615",Estimated Market Value,$1520/m,Single-Family,2,2,1430, 97%,https://www.foreclosure.com/address/Orange-Ave-Bokeelia-FL-33922/60778395_lid
"Nw 47th Ter Apt 408, Lauderdale Lakes, FL 33319","$124,362",Estimated Market Value,$991/m,Condo,1,1,750, 142%,https://www.foreclosure.com/address/Nw-47th-Ter-Apt-408-Lauderdale-Lakes-FL-33319/60775772_lid
"Bayshore Dr # 901, Fort Lauderdale, FL 33304","$623,987",Estimated Market Value,$1700/m,Condo,N/A,N/A,N/A, 106%,https://www.foreclosure.com/address/Bayshore-Dr--901-Fort-Lauderdale-FL-33304/60775878_lid
"Honeyridge Ln, Merritt Island, FL 32952","$2,065,332",Estimated Market Value,$3120/m,Single-Family,4,5,7140, 93%,https://www.foreclosure.com/address/Honeyridge-Ln-Merritt-Island-FL-32952/60776531_lid
"Ne 30th Ct, Aventura, FL 33160",N/A,N/A,N/A,Condo,3,3,1840,N/A,https://www.foreclosure.com/address/Ne-30th-Ct-Aventura-FL-33160/60776538_lid
"Frances St, Crestview, FL 32539","$316,833",Estimated Market Value,$1430/m,Single-Family,3,2,1732, 110%,https://www.foreclosure.com/address/Frances-St-Crestview-FL-32539/60776547_lid
"Sotterley Ln, Jacksonville, FL 32220",N/A,N/A,N/A,Single-Family,4,2,1856,N/A,https://www.foreclosure.com/address/Sotterley-Ln-Jacksonville-FL-32220/60776568_lid
"Osage Ave S, Lehigh Acres, FL 33974","$474,123",Estimated Market Value,$1690/m,Single-Family,4,3,2355, 91%,https://www.foreclosure.com/address/Osage-Ave-S-Lehigh-Acres-FL-33974/60776569_lid
"Annabellas Dr, Panama City Beach, FL 32407",N/A,N/A,N/A,Townhome,3,2,1635,N/A,https://www.foreclosure.com/address/Annabellas-Dr-Panama-City-Beach-FL-32407/60776572_lid
"Shindler Dr, Jacksonville, FL 32222",N/A,N/A,N/A,Single-Family,3,2,1525,N/A,https://www.foreclosure.com/address/Shindler-Dr-Jacksonville-FL-32222/60776579_lid
"Dalton Ct, Davenport, FL 33897","$368,181",Estimated Market Value,$1650/m,Single-Family,3,2,1808, 95%,https://www.foreclosure.com/address/Dalton-Ct-Davenport-FL-33897/60776602_lid
"Landau Rd, Jacksonville, FL 32225",N/A,N/A,N/A,Townhome,3,2,1380,N/A,https://www.foreclosure.com/address/Landau-Rd-Jacksonville-FL-32225/60776608_lid
"Via Odanti Dr, Bonita Springs, FL 34135","$1,303,874",Estimated Market Value,$2860/m,Single-Family,3,3,2789, 113%,https://www.foreclosure.com/address/Via-Odanti-Dr-Bonita-Springs-FL-34135/60776604_lid
"Nw 4th Ave, Miami, FL 33150",N/A,N/A,N/A,Condo,4,3,1660,N/A,https://www.foreclosure.com/address/Nw-4th-Ave-Miami-FL-33150/60776619_lid
"Nina Jean Dr, Melbourne, FL 32904","$123,165",Estimated Market Value,$1141/m,Mobile,3,2,720, 101%,https://www.foreclosure.com/address/Nina-Jean-Dr-Melbourne-FL-32904/60776637_lid
"Pierce St Apt 116, Hollywood, FL 33020","$117,369",Estimated Market Value,$1141/m,Condo,1,1,510, 121%,https://www.foreclosure.com/address/Pierce-St-Apt-116-Hollywood-FL-33020/60776653_lid
"Ne Dixie Hwy Apt 10-107, Jensen Beach, FL 34957","$260,445",Estimated Market Value,$1530/m,Condo,2,2,1072, 97%,https://www.foreclosure.com/address/Ne-Dixie-Hwy-Apt-10-107-Jensen-Beach-FL-34957/60776657_lid
"Laraway Dr, Riverview, FL 33579","$323,105",Estimated Market Value,$1690/m,Single-Family,3,2,1264, 93%,https://www.foreclosure.com/address/Laraway-Dr-Riverview-FL-33579/60776678_lid
"Sw 26th St, Miramar, FL 33027","$713,244",Estimated Market Value,$2610/m,Single-Family,4,2,2383, 113%,https://www.foreclosure.com/address/Sw-26th-St-Miramar-FL-33027/60776682_lid
"Chancery Pl, Tampa, FL 33613","$593,781",Estimated Market Value,$2490/m,Single-Family,4,3,2575, 117%,https://www.foreclosure.com/address/Chancery-Pl-Tampa-FL-33613/60776705_lid
"Keys Gate Dr, Riverview, FL 33579","$291,647",Estimated Market Value,$1440/m,Townhome,2,2,1532, 103%,https://www.foreclosure.com/address/Keys-Gate-Dr-Riverview-FL-33579/60776730_lid
"W 17th St, Apopka, FL 32703","$254,208",Estimated Market Value,$1082/m,Single-Family,2,2,1200, 111%,https://www.foreclosure.com/address/W-17th-St-Apopka-FL-32703/60776736_lid
"Westwood Blvd W, Tamarac, FL 33321","$378,881",Estimated Market Value,$1670/m,Single-Family,2,2,1629, 105%,https://www.foreclosure.com/address/Westwood-Blvd-W-Tamarac-FL-33321/60776740_lid
"Waters Edge Dr, Neptune Beach, FL 32266","$296,645",Estimated Market Value,$1241/m,Townhome,2,1,896, 103%,https://www.foreclosure.com/address/Waters-Edge-Dr-Neptune-Beach-FL-32266/60776769_lid
"Bonita Bluff Ct, Ruskin, FL 33570","$449,163",Estimated Market Value,$1610/m,Single-Family,3,2,2424, 97%,https://www.foreclosure.com/address/Bonita-Bluff-Ct-Ruskin-FL-33570/60776804_lid
"Beach Ave, Jacksonville, FL 32233",N/A,N/A,N/A,Townhome,3,2,1660,N/A,https://www.foreclosure.com/address/Beach-Ave-Jacksonville-FL-32233/60776814_lid
"Sage Canyon Dr, Riverview, FL 33578",N/A,N/A,N/A,Single-Family,4,2,1914,N/A,https://www.foreclosure.com/address/Sage-Canyon-Dr-Riverview-FL-33578/60776815_lid
"Friar Pl, Tampa, FL 33625","$382,592",Estimated Market Value,$1420/m,Single-Family,3,2,1027, 98%,https://www.foreclosure.com/address/Friar-Pl-Tampa-FL-33625/60776819_lid
"N Excelda Ave, Tampa, FL 33609","$646,015",Estimated Market Value,$2080/m,Single-Family,3,2,1800, 122%,https://www.foreclosure.com/address/N-Excelda-Ave-Tampa-FL-33609/60776831_lid
"S 12th St Unit 504, Tampa, FL 33602","$1,277,723",Estimated Market Value,$3150/m,Condo,3,3,1733, 184%,https://www.foreclosure.com/address/S-12th-St-Unit-504-Tampa-FL-33602/60776857_lid
"Grapehill St, Cocoa, FL 32926","$522,239",Estimated Market Value,$1530/m,Single-Family,3,2,3443, 148%,https://www.foreclosure.com/address/Grapehill-St-Cocoa-FL-32926/60776865_lid
"Frontier Dr, Melbourne, FL 32940","$340,560",Estimated Market Value,$1530/m,Single-Family,3,2,2396, 129%,https://www.foreclosure.com/address/Frontier-Dr-Melbourne-FL-32940/60776871_lid
"Eastwyck Dr, Tampa, FL 33647","$644,758",Estimated Market Value,$2300/m,Single-Family,4,3,3261, 99%,https://www.foreclosure.com/address/Eastwyck-Dr-Tampa-FL-33647/60776870_lid
"S Carol Pkwy, Margate, FL 33068",N/A,N/A,N/A,Land,N/A,N/A,0,N/A,https://www.foreclosure.com/address/S-Carol-Pkwy-Margate-FL-33068/60776875_lid
"Redcliff Dr, Tampa, FL 33625","$451,934",Estimated Market Value,$1670/m,Single-Family,3,2,1770, 101%,https://www.foreclosure.com/address/Redcliff-Dr-Tampa-FL-33625/60776890_lid
"Se 3rd Ave Apt 206b, Hallandale Beach, FL 33009","$130,679",Estimated Market Value,$1072/m,Condo,2,1,935, 113%,https://www.foreclosure.com/address/Se-3rd-Ave-Apt-206b-Hallandale-Beach-FL-33009/60776894_lid
"Se 34th Pl, Homestead, FL 33033","$461,384",Estimated Market Value,N/A,Single-Family,3,2,2043, 112%,https://www.foreclosure.com/address/Se-34th-Pl-Homestead-FL-33033/60776911_lid
"Young Pl, Lakeland, FL 33803","$276,000",Estimated Market Value,$1080/m,Single-Family,2,1,1226, 119%,https://www.foreclosure.com/address/Young-Pl-Lakeland-FL-33803/60776917_lid
"Ashleigh Park Dr, Jacksonville, FL 32244","$279,593",Estimated Market Value,$1301/m,Single-Family,3,2,1652, 109%,https://www.foreclosure.com/address/Ashleigh-Park-Dr-Jacksonville-FL-32244/60776930_lid
"Bridle Path, Arcadia, FL 34266","$182,844",Estimated Market Value,$1100/m,Single-Family,2,1,1054, 98%,https://www.foreclosure.com/address/Bridle-Path-Arcadia-FL-34266/60776937_lid
"Bertram Rd, Brooksville, FL 34602",N/A,N/A,N/A,Single-Family,2,2,1044,N/A,https://www.foreclosure.com/address/Bertram-Rd-Brooksville-FL-34602/60776943_lid
"Nw 40th St, Lauderdale Lakes, FL 33309","$455,014",Estimated Market Value,$1840/m,Single-Family,4,2,2110, 109%,https://www.foreclosure.com/address/Nw-40th-St-Lauderdale-Lakes-FL-33309/60776955_lid
"Welleby Isles Ln, Sunrise, FL 33351","$511,731",Estimated Market Value,$2110/m,Single-Family,3,2,1623, 108%,https://www.foreclosure.com/address/Welleby-Isles-Ln-Sunrise-FL-33351/60776959_lid
"Dobbin Dr, Orlando, FL 32817",N/A,N/A,N/A,Single-Family,2,2,964,N/A,https://www.foreclosure.com/address/Dobbin-Dr-Orlando-FL-32817/60776965_lid
"Reylinda Ave, Thonotosassa, FL 33592","$455,609",Estimated Market Value,$1770/m,Single-Family,3,2,2813, 148%,https://www.foreclosure.com/address/Reylinda-Ave-Thonotosassa-FL-33592/60777024_lid
"S Carpenter Ave, Bartow, FL 33830","$200,491",Estimated Market Value,N/A,Multi-Family,N/A,2,1820, 109%,https://www.foreclosure.com/address/S-Carpenter-Ave-Bartow-FL-33830/60777022_lid
"Crescent Rock Dr, Wimauma, FL 33598",N/A,N/A,N/A,Single-Family,4,2,1914,N/A,https://www.foreclosure.com/address/Crescent-Rock-Dr-Wimauma-FL-33598/60777026_lid
"Carey Ct, Auburndale, FL 33823","$494,213",Estimated Market Value,$1560/m,Single-Family,3,2,2991, 101%,https://www.foreclosure.com/address/Carey-Ct-Auburndale-FL-33823/60777044_lid
"India Dr, Spring Hill, FL 34608","$374,065",Estimated Market Value,$1320/m,Single-Family,3,2,1917, 106%,https://www.foreclosure.com/address/India-Dr-Spring-Hill-FL-34608/60777055_lid
"Se 15th St Apt 514, Fort Lauderdale, FL 33316","$365,441",Estimated Market Value,$1840/m,Condo,2,2,1020, 121%,https://www.foreclosure.com/address/Se-15th-St-Apt-514-Fort-Lauderdale-FL-33316/60777062_lid
"Se Wald St, Port Saint Lucie, FL 34984","$385,630",Estimated Market Value,$1470/m,Single-Family,3,2,1537, 100%,https://www.foreclosure.com/address/Se-Wald-St-Port-Saint-Lucie-FL-34984/60777069_lid
"Mandel Rd, Fort Myers, FL 33919","$311,345",Estimated Market Value,$1400/m,Single-Family,2,2,1296, 127%,https://www.foreclosure.com/address/Mandel-Rd-Fort-Myers-FL-33919/60777074_lid
"Prospect St, Jacksonville, FL 32208",N/A,N/A,N/A,Single-Family,3,1,1253,N/A,https://www.foreclosure.com/address/Prospect-St-Jacksonville-FL-32208/60777080_lid
"Hawthorne Cove Dr, Ocoee, FL 34761","$624,887",Estimated Market Value,$1800/m,Single-Family,3,2,2391, 116%,https://www.foreclosure.com/address/Hawthorne-Cove-Dr-Ocoee-FL-34761/60777093_lid
"Grande Cay Cir Apt 2702, Fort Myers, FL 33908","$475,893",Estimated Market Value,$1970/m,Condo,3,2,1557, 116%,https://www.foreclosure.com/address/Grande-Cay-Cir-Apt-2702-Fort-Myers-FL-33908/60777112_lid
"S Riverhills Dr, Temple Terrace, FL 33617","$687,665",Estimated Market Value,$1580/m,Single-Family,5,2,3058, 109%,https://www.foreclosure.com/address/S-Riverhills-Dr-Temple-Terrace-FL-33617/60777148_lid
"Exeter Ln, Lakeland, FL 33810","$297,790",Estimated Market Value,$1320/m,Single-Family,3,2,1771, 105%,https://www.foreclosure.com/address/Exeter-Ln-Lakeland-FL-33810/60777150_lid
"Deep Creek Dr, Lakeland, FL 33810",N/A,N/A,N/A,Single-Family,3,2,1834,N/A,https://www.foreclosure.com/address/Deep-Creek-Dr-Lakeland-FL-33810/60777173_lid
"Trammel Dr, Milton, FL 32570","$186,745",Estimated Market Value,$1191/m,Mobile,3,2,1984, 104%,https://www.foreclosure.com/address/Trammel-Dr-Milton-FL-32570/60777178_lid
"Nw 104th Ave Apt 310, Sunrise, FL 33322","$153,565",Estimated Market Value,$1181/m,Condo,2,2,860, 115%,https://www.foreclosure.com/address/Nw-104th-Ave-Apt-310-Sunrise-FL-33322/60777186_lid
"Nw 1st Ter, Pompano Beach, FL 33060","$349,467",Estimated Market Value,$1520/m,Single-Family,3,2,1174, 92%,https://www.foreclosure.com/address/Nw-1st-Ter-Pompano-Beach-FL-33060/60777193_lid
"Orchid Pkwy, Dade City, FL 33523","$230,976",Estimated Market Value,$1131/m,Single-Family,3,2,1388, 104%,https://www.foreclosure.com/address/Orchid-Pkwy-Dade-City-FL-33523/60777197_lid
"Kingfish Dr, Poinciana, FL 34759",N/A,N/A,N/A,Single-Family,4,2,2174,N/A,https://www.foreclosure.com/address/Kingfish-Dr-Poinciana-FL-34759/60777199_lid
"Mahogany Run, Fort Myers, FL 33913","$956,675",Estimated Market Value,$2950/m,Single-Family,3,3,3214, 109%,https://www.foreclosure.com/address/Mahogany-Run-Fort-Myers-FL-33913/60777204_lid
"Andover Pl N Unit 108, Sun City Center, FL 33573","$158,367",Estimated Market Value,$1100/m,Condo,2,2,960, 111%,https://www.foreclosure.com/address/Andover-Pl-N-Unit-108-Sun-City-Center-FL-33573/60777217_lid
"W County Road 2006, Bunnell, FL 32110","$511,584",Estimated Market Value,$1540/m,Single-Family,4,4,2686, 95%,https://www.foreclosure.com/address/W-County-Road-2006-Bunnell-FL-32110/60777227_lid
"S Hobbs Pt, Lecanto, FL 34461","$132,855",Estimated Market Value,$1251/m,Mobile,3,2,1674, 100%,https://www.foreclosure.com/address/S-Hobbs-Pt-Lecanto-FL-34461/60777237_lid
"Arlington Cir, Melbourne, FL 32940","$658,952",Estimated Market Value,$2200/m,Single-Family,4,3,3360, 97%,https://www.foreclosure.com/address/Arlington-Cir-Melbourne-FL-32940/60777246_lid
"Spring Board Dr, Jacksonville, FL 32218","$367,108",Estimated Market Value,$1460/m,Single-Family,4,2,2586, 98%,https://www.foreclosure.com/address/Spring-Board-Dr-Jacksonville-FL-32218/60777255_lid
"Forest City Rd Apt H, Orlando, FL 32810",N/A,N/A,N/A,Condo,3,2,1187,N/A,https://www.foreclosure.com/address/Forest-City-Rd-Apt-H-Orlando-FL-32810/60777291_lid
"Annapolis Ln, Rotonda West, FL 33947","$347,327",Estimated Market Value,$2080/m,Single-Family,3,2,1192, 107%,https://www.foreclosure.com/address/Annapolis-Ln-Rotonda-West-FL-33947/60777298_lid
"W Charlotte St, Plant City, FL 33563","$296,027",Estimated Market Value,$1141/m,Single-Family,3,2,1356, 101%,https://www.foreclosure.com/address/W-Charlotte-St-Plant-City-FL-33563/60777297_lid
"Crested Orchid Dr, Brooksville, FL 34602",N/A,N/A,N/A,Single-Family,3,2,1404,N/A,https://www.foreclosure.com/address/Crested-Orchid-Dr-Brooksville-FL-34602/60777305_lid
"W Virginia Ave, Tampa, FL 33607","$330,314",Estimated Market Value,$1151/m,Single-Family,3,1,1045, 128%,https://www.foreclosure.com/address/W-Virginia-Ave-Tampa-FL-33607/60777313_lid
"Washington St Apt 210, Hollywood, FL 33021","$214,130",Estimated Market Value,$1230/m,Condo,2,2,992, 124%,https://www.foreclosure.com/address/Washington-St-Apt-210-Hollywood-FL-33021/60777310_lid
"W Barclay Rd, Tampa, FL 33612","$390,037",Estimated Market Value,$1510/m,Single-Family,4,2,1838, 100%,https://www.foreclosure.com/address/W-Barclay-Rd-Tampa-FL-33612/60777321_lid
"Coco Palm Cir, Sun City Center, FL 33573","$272,570",Estimated Market Value,$1141/m,Single-Family,2,2,1080, 126%,https://www.foreclosure.com/address/Coco-Palm-Cir-Sun-City-Center-FL-33573/60777325_lid
"Nw 15th St, Fort Lauderdale, FL 33311","$454,559",Estimated Market Value,$1730/m,Single-Family,3,2,1869, 108%,https://www.foreclosure.com/address/Nw-15th-St-Fort-Lauderdale-FL-33311/60777367_lid
"Oak Ln, Flagler Beach, FL 32136","$324,575",Estimated Market Value,$1271/m,Single-Family,N/A,2,1404, 105%,https://www.foreclosure.com/address/Oak-Ln-Flagler-Beach-FL-32136/60777372_lid
"Nw 6th Ct, Pompano Beach, FL 33069","$141,100",Estimated Market Value,$1460/m,Single-Family,3,2,1064, 100%,https://www.foreclosure.com/address/Nw-6th-Ct-Pompano-Beach-FL-33069/60777400_lid
"Vivera Ct, Jacksonville, FL 32244","$359,870",Estimated Market Value,$1680/m,Single-Family,4,3,2461, 120%,https://www.foreclosure.com/address/Vivera-Ct-Jacksonville-FL-32244/60777409_lid
"Barrington Dr, Fernandina Beach, FL 32034","$733,193",Estimated Market Value,$1550/m,Single-Family,3,2,2010, 115%,https://www.foreclosure.com/address/Barrington-Dr-Fernandina-Beach-FL-32034/60777421_lid
"Cumler Ct, Orlando, FL 32811",N/A,N/A,N/A,Single-Family,4,2,1804,N/A,https://www.foreclosure.com/address/Cumler-Ct-Orlando-FL-32811/60777431_lid
"Avenue S, Fort Pierce, FL 34947","$192,672",Estimated Market Value,$940/m,Single-Family,3,2,1580, 117%,https://www.foreclosure.com/address/Avenue-S-Fort-Pierce-FL-34947/60777453_lid
"Crest Creek Dr, Riverview, FL 33569","$309,870",Estimated Market Value,$1620/m,Single-Family,3,2,1140, 100%,https://www.foreclosure.com/address/Crest-Creek-Dr-Riverview-FL-33569/60777472_lid
"Crystal Glen Blvd, Orlando, FL 32837",N/A,N/A,N/A,Single-Family,5,3,2663,N/A,https://www.foreclosure.com/address/Crystal-Glen-Blvd-Orlando-FL-32837/60777475_lid
"Nw 22nd St, Sunrise, FL 33323","$686,588",Estimated Market Value,$2920/m,Single-Family,4,2,2612, 111%,https://www.foreclosure.com/address/Nw-22nd-St-Sunrise-FL-33323/60777480_lid
"Linger Ln, Sun City Center, FL 33573","$323,105",Estimated Market Value,$1398/m,Single-Family,2,2,1750, 94%,https://www.foreclosure.com/address/Linger-Ln-Sun-City-Center-FL-33573/60777489_lid
"Roundleaf Dr, Jacksonville, FL 32258","$346,104",Estimated Market Value,$1540/m,Townhome,3,2,1672, 100%,https://www.foreclosure.com/address/Roundleaf-Dr-Jacksonville-FL-32258/60777498_lid
"Peaceful Valley Dr, Wimauma, FL 33598",N/A,N/A,N/A,Single-Family,5,2,2355,N/A,https://www.foreclosure.com/address/Peaceful-Valley-Dr-Wimauma-FL-33598/60777500_lid
"Abington Way, Weeki Wachee, FL 34613","$306,810",Estimated Market Value,$1110/m,Single-Family,3,2,1202, 106%,https://www.foreclosure.com/address/Abington-Way-Weeki-Wachee-FL-34613/60777506_lid
"Sw 26th St, Miramar, FL 33029","$621,319",Estimated Market Value,$2600/m,Single-Family,3,2,1905, 109%,https://www.foreclosure.com/address/Sw-26th-St-Miramar-FL-33029/60777527_lid
"Se 8th Ave, Arcadia, FL 34266","$108,970",Estimated Market Value,N/A,Mobile,3,2,1332, 104%,https://www.foreclosure.com/address/Se-8th-Ave-Arcadia-FL-34266/60777539_lid
"S Woods Cir Unit 11, Fort Myers, FL 33919","$254,995",Estimated Market Value,$1430/m,Condo,2,2,1187, 104%,https://www.foreclosure.com/address/S-Woods-Cir-Unit-11-Fort-Myers-FL-33919/60777543_lid
"Se 4th Ave Apt 7, Hallandale Beach, FL 33009","$151,508",Estimated Market Value,$1092/m,Condo,1,1,570, 118%,https://www.foreclosure.com/address/Se-4th-Ave-Apt-7-Hallandale-Beach-FL-33009/60777548_lid
"52nd St W, Lehigh Acres, FL 33971","$260,777",Estimated Market Value,$1230/m,Single-Family,3,2,1296, 123%,https://www.foreclosure.com/address/52nd-St-W-Lehigh-Acres-FL-33971/60777558_lid
"Woodwind Dr, Apopka, FL 32703","$299,390",Estimated Market Value,$1121/m,Single-Family,3,2,1180, 99%,https://www.foreclosure.com/address/Woodwind-Dr-Apopka-FL-32703/60775809_lid
"Eagle Path, Frostproof, FL 33843","$190,041",Estimated Market Value,$1110/m,Mobile,N/A,N/A,1216, 190%,https://www.foreclosure.com/address/Eagle-Path-Frostproof-FL-33843/60776614_lid
"Brookhill Cir, Orlando, FL 32810",N/A,N/A,N/A,Single-Family,4,2,1612,N/A,https://www.foreclosure.com/address/Brookhill-Cir-Orlando-FL-32810/60776560_lid
"Se 23rd St, Cape Coral, FL 33990","$418,167",Estimated Market Value,$1670/m,Single-Family,3,2,1546, 92%,https://www.foreclosure.com/address/Se-23rd-St-Cape-Coral-FL-33990/60776670_lid
"Mann Ave Nw, Palm Bay, FL 32907","$386,315",Estimated Market Value,$1550/m,Single-Family,4,2,2924, 100%,https://www.foreclosure.com/address/Mann-Ave-Nw-Palm-Bay-FL-32907/60776677_lid
"Loyola Dr, Jacksonville, FL 32218","$191,187",Estimated Market Value,$1251/m,Single-Family,4,1,1720, 115%,https://www.foreclosure.com/address/Loyola-Dr-Jacksonville-FL-32218/60776729_lid
"Warlick Ct, Orlando, FL 32828","$461,736",Estimated Market Value,$1590/m,Single-Family,3,2,1995, 103%,https://www.foreclosure.com/address/Warlick-Ct-Orlando-FL-32828/60776772_lid
"W 23rd St, Jacksonville, FL 32206","$58,519",Estimated Market Value,$660/m,Single-Family,2,1,882, 136%,https://www.foreclosure.com/address/W-23rd-St-Jacksonville-FL-32206/60776840_lid
"Linwood Ave, Jacksonville, FL 32206","$132,904",Estimated Market Value,$1092/m,Single-Family,4,2,1648, 107%,https://www.foreclosure.com/address/Linwood-Ave-Jacksonville-FL-32206/60776897_lid
"W Arch St, Tampa, FL 33607","$629,649",Estimated Market Value,$1560/m,Single-Family,4,3,2192, 121%,https://www.foreclosure.com/address/W-Arch-St-Tampa-FL-33607/60776907_lid
"E Silver Thorn Loop, Hernando, FL 34442","$262,250",Estimated Market Value,$1301/m,Single-Family,2,2,1437, 115%,https://www.foreclosure.com/address/E-Silver-Thorn-Loop-Hernando-FL-34442/60776953_lid
"W Nielsen Ct, Homosassa, FL 34446","$254,697",Estimated Market Value,N/A,Mobile,3,2,2052, 103%,https://www.foreclosure.com/address/W-Nielsen-Ct-Homosassa-FL-34446/60776969_lid
"Sw 187th Ter, Miramar, FL 33029","$1,031,595",Estimated Market Value,$3780/m,Single-Family,N/A,N/A,3537, 104%,https://www.foreclosure.com/address/Sw-187th-Ter-Miramar-FL-33029/60777008_lid
"Four Lakes Dr, Melbourne, FL 32940","$487,550",Estimated Market Value,$1830/m,Single-Family,4,2,2590, 109%,https://www.foreclosure.com/address/Four-Lakes-Dr-Melbourne-FL-32940/60777137_lid
"Lake Underhill Rd, Orlando, FL 32828","$481,473",Estimated Market Value,$1660/m,Single-Family,4,2,2178, 102%,https://www.foreclosure.com/address/Lake-Underhill-Rd-Orlando-FL-32828/60777147_lid
"Lema Dr, Spring Hill, FL 34609","$297,920",Estimated Market Value,$1160/m,Single-Family,3,2,1517, 104%,https://www.foreclosure.com/address/Lema-Dr-Spring-Hill-FL-34609/60777158_lid
"Viola Rd, Lakeland, FL 33810","$193,035",Estimated Market Value,$1320/m,Mobile,N/A,N/A,1296, 101%,https://www.foreclosure.com/address/Viola-Rd-Lakeland-FL-33810/60777196_lid
"Mira Lago Cir, Ruskin, FL 33570","$445,004",Estimated Market Value,$1530/m,Single-Family,4,3,2190, 100%,https://www.foreclosure.com/address/Mira-Lago-Cir-Ruskin-FL-33570/60777239_lid
"Mount Tabor Rd, Lakeland, FL 33810","$318,750",Estimated Market Value,$1398/m,Mobile,3,2,1884, 98%,https://www.foreclosure.com/address/Mount-Tabor-Rd-Lakeland-FL-33810/60777257_lid
"Nw 43rd Ct, Lauderdale Lakes, FL 33319","$317,889",Estimated Market Value,$1430/m,Single-Family,2,2,1378, 100%,https://www.foreclosure.com/address/Nw-43rd-Ct-Lauderdale-Lakes-FL-33319/60777269_lid
"Renshaw Dr, Palm Coast, FL 32164","$301,355",Estimated Market Value,$1271/m,Single-Family,3,2,1344, 100%,https://www.foreclosure.com/address/Renshaw-Dr-Palm-Coast-FL-32164/60777328_lid
"Scottish St Sw, Palm Bay, FL 32908","$303,211",Estimated Market Value,$1450/m,Single-Family,3,2,1560, 112%,https://www.foreclosure.com/address/Scottish-St-Sw-Palm-Bay-FL-32908/60777348_lid
"Riverbend Cir, Tampa, FL 33610","$264,480",Estimated Market Value,$1082/m,Single-Family,2,1,1086, 122%,https://www.foreclosure.com/address/Riverbend-Cir-Tampa-FL-33610/60777364_lid
"Foxdale Dr, Jacksonville, FL 32210","$408,855",Estimated Market Value,$1510/m,Single-Family,4,3,2983, 102%,https://www.foreclosure.com/address/Foxdale-Dr-Jacksonville-FL-32210/60777407_lid
"Grove Park Blvd, Jacksonville, FL 32216","$410,503",Estimated Market Value,$1470/m,Single-Family,4,3,2363, 111%,https://www.foreclosure.com/address/Grove-Park-Blvd-Jacksonville-FL-32216/60777419_lid
"Indian Trails Ct, Lakeland, FL 33813","$393,469",Estimated Market Value,$1570/m,Single-Family,3,2,1889, 99%,https://www.foreclosure.com/address/Indian-Trails-Ct-Lakeland-FL-33813/60777450_lid
"Arch Mcdonald Dr, Dover, FL 33527","$439,955",Estimated Market Value,$1700/m,Single-Family,4,2,2568, 117%,https://www.foreclosure.com/address/Arch-Mcdonald-Dr-Dover-FL-33527/60777469_lid
"Indian Harbor Rd, Indian River Shores, FL 32963","$4,012,308",Estimated Market Value,$3880/m,Single-Family,3,4,4914, 113%,https://www.foreclosure.com/address/Indian-Harbor-Rd-Indian-River-Shores-FL-32963/60775418_lid
"Nw 115th Ct, Doral, FL 33178","$696,556",Estimated Market Value,$2750/m,Townhome,3,2,2104, 118%,https://www.foreclosure.com/address/Nw-115th-Ct-Doral-FL-33178/60776964_lid
"Van Doren Ave, New Port Richey, FL 34652","$146,207",Estimated Market Value,$780/m,Single-Family,2,1,656, 138%,https://www.foreclosure.com/address/Van-Doren-Ave-New-Port-Richey-FL-34652/60774083_lid
"Salt Grass Dr, Pensacola, FL 32526","$504,306",Estimated Market Value,$1890/m,N/A,N/A,N/A,N/A, 91%,https://www.foreclosure.com/address/Salt-Grass-Dr-Pensacola-FL-32526/60775190_lid
"Brookside Dr, Pensacola, FL 32503","$208,415",Estimated Market Value,$960/m,Single-Family,N/A,1.5,1260, 111%,https://www.foreclosure.com/address/Brookside-Dr-Pensacola-FL-32503/60775189_lid
"Bay Meadows Dr, Perdido Key, FL 32507",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/Bay-Meadows-Dr-Perdido-Key-FL-32507/60775191_lid
"Ada Wilson Ave, Pensacola, FL 32507","$180,480",Estimated Market Value,$940/m,Single-Family,N/A,1,1350, 107%,https://www.foreclosure.com/address/Ada-Wilson-Ave-Pensacola-FL-32507/60775192_lid
"Sw 68th St, Miami, FL 33193",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/Sw-68th-St-Miami-FL-33193/60775205_lid
